Latitude,Longitude,Percent change in growing degree days
39.4839,-119.7711,101.948718
37.7494,-107.095,97.28985884
39.6261,-106.0353,64.6785813
39.1678,-120.1428,55.00492287
47.9753,-122.195,49.84231904
44.0569,-121.285,48.37897694
48.9672,-122.3292,44.48796299
40.8097,-124.1603,44.01013134
37.6131,-109.4847,40.64561404
46.6056,-111.9636,39.83261456
47.9558,-124.3539,36.46458583
36.9878,-121.9994,35.93887682
41.525,-111.1494,35.71601146
34.1483,-118.1447,35.42431186
44.5733,-116.6753,33.77305889
44.4683,-73.15,33.26033179
42.9508,-123.3572,32.83425481
41.4903,-71.5431,32.35303096
42.7342,-122.5164,31.51001136
43.6497,-70.3003,29.16231833
45.09,-71.2906,28.40047778
42.08,-80.1825,27.94822675
40.8289,-115.7886,27.9469518
36.78,-119.7194,27.65691095
40.5764,-105.0858,27.58609587
43.0297,-78.1683,27.18718531
41.8253,-111.3206,24.75752004
45.1219,-95.9269,24.63855809
44.6342,-123.19,24.57946176
41.7681,-74.155,23.75985636
39.0303,-76.9314,23.60403161
45.4486,-122.1547,23.32954286
39.2872,-112.6519,23.06207931
40.5353,-112.3217,23.053276
47.1358,-122.2558,22.53958769
41.7219,-71.4325,22.22625645
46.3747,-117.0156,21.9282447
46.7053,-92.5239,20.3435505
36.4486,-103.1539,20.22834352
47.4289,-120.31,19.75241463
41.0461,-83.6622,19.32428434
39.7994,-74.7806,19.09573913
42.2122,-71.1136,18.43229095
43.45,-76.5369,18.31722108
38.535,-121.7761,18.27029892
40.9017,-117.8081,18.15375177
44.6411,-90.1333,18.02548854
42.7431,-73.8092,17.96275839
36.835,-108.0006,17.90151617
47.2436,-93.4975,17.89298508
39.3792,-74.4242,17.89104329
45.7858,-88.0842,17.88116123
34.7675,-114.6189,17.87870052
48.3511,-116.8353,17.74189807
47.6217,-117.5281,17.57040901
41.1519,-104.8061,17.37364527
31.8111,-106.3758,16.82265368
36.9033,-76.1922,16.44606394
35.3297,-82.4492,16.37714131
43.1433,-70.95,16.20284546
41.5944,-109.0528,16.06324043
44.8831,-93.2289,15.85049333
41.2433,-76.9217,15.64937104
37.2825,-109.5575,15.48140659
48.6033,-112.3753,15.42037929
36.4261,-94.4481,15.05002049
45.5247,-123.1025,15.03382611
39.7739,-75.5414,15.00315317
43.4133,-124.2436,14.84617579
42.6469,-95.1933,14.79929299
47.2192,-111.7106,14.60732984
48.9144,-103.2978,14.57801965
39.9961,-86.3542,14.48691783
45.6622,-111.0464,14.40898548
39.7458,-122.1997,14.16907306
40.6508,-75.4492,14.07475734
43.7639,-94.1661,13.81174349
38.4858,-107.8792,13.61709109
41.2667,-82.6167,12.99837084
43.1111,-76.1039,12.8727315
42.2131,-122.7147,12.67095827
42.9486,-78.7369,12.63928753
45.4875,-111.6336,12.5716793
45.2089,-112.6389,12.56242103
41.3119,-105.6747,12.39714438
28.1522,-82.7539,12.15824353
46.8217,-108.3725,12.10609932
34.1892,-101.7022,12.05653753
40.9519,-72.2978,11.96117007
39.4019,-77.9844,11.91335625
40.08,-111.6047,11.75265141
42.2342,-113.8981,11.56109076
44.8428,-117.8086,11.46322383
48.3042,-114.2636,11.40943447
43.0722,-88.0294,11.15062676
45.8236,-91.8761,11.04644063
26.585,-81.8614,10.95449522
40.7833,-81.9167,10.95189772
32.13,-81.21,10.61994501
39.2203,-105.2783,10.54389842
37.0286,-112.5361,10.3991565
35.2006,-103.6867,10.39635335
48.8217,-100.4528,10.28095904
36.9647,-86.4239,10.2711311
41.2783,-84.3847,10.22535469
29.5442,-98.4839,10.20275847
43.1167,-77.6767,10.16017527
39.1661,-85.9228,10.15050616
42.1997,-75.985,10.08373503
39.0147,-99.8722,9.79370554
44.3797,-108.035,9.738245459
38.7153,-76.1908,9.698262868
43.9025,-99.8583,9.532514315
34.9389,-81.0331,9.460467791
35.6722,-85.7811,9.450783919
44.9047,-97.1494,9.259500195
30.205,-91.9875,9.126113493
38.8586,-99.3358,8.97634732
41.5575,-85.8825,8.970752572
44.0139,-96.3258,8.804064515
32.78,-79.9319,8.777403534
38.0383,-103.6947,8.745537052
40.7933,-77.8672,8.740014833
34.7442,-87.5997,8.68728381
34.6603,-82.8233,8.554400486
37.2092,-112.9814,8.542924535
37.9411,-101.2492,8.369621428
35.4661,-114.9217,8.346028046
46.4178,-104.5164,8.233870653
37.2733,-99.3289,8.192173096
39.2583,-111.6308,8.046972822
30.3975,-84.3289,8.005282662
41.5183,-84.1453,7.992875197
46.9006,-95.0678,7.965413484
40.8125,-82.9697,7.822220694
39.4761,-88.1653,7.681192724
41.4197,-78.7492,7.681063301
33.6517,-101.245,7.34860656
34.9894,-99.0525,7.183278358
31.9497,-91.2336,7.181757479
34.3725,-89.5308,7.142934349
35.6214,-88.8456,7.06990453
26.1019,-80.2011,7.032072443
41.0664,-86.2097,6.948947264
41.7947,-90.2639,6.877722441
40.7789,-73.9692,6.872452986
45.1308,-90.3439,6.852177264
29.7986,-98.7353,6.816294417
27.7839,-97.5108,6.710041464
30.5372,-91.1469,6.653339657
48.2138,-106.6213,6.580686767
30.4781,-87.1869,6.565760342
34.5786,-83.3319,6.560813608
27.4419,-80.3508,6.559969539
42.1231,-111.3133,6.535569627
38.9803,-80.22,6.501376315
40.58,-85.6586,6.459918886
40.5314,-97.5964,6.320182644
31.7414,-99.9764,6.301199277
43.2358,-97.5714,6.236485598
34.5686,-85.6064,6.122797367
41.53,-120.1792,5.967584192
40.2664,-74.5642,5.93751527
45.4558,-98.4131,5.81460915
44.0683,-98.0833,5.681506019
37.6911,-106.3078,5.47651439
38.9339,-80.8317,5.358362085
37.5983,-94.2842,5.238725734
30.7425,-98.6542,5.223592968
44.6894,-70.1564,5.031193329
34.0906,-82.5883,4.992366534
34.5283,-82.6608,4.950593896
48.6061,-100.2911,4.823944494
47.2256,-95.1919,4.772721116
39.6042,-85.4533,4.768171022
34.635,-81.5206,4.62030908
35.9147,-81.5375,4.560267725
42.9536,-112.8253,4.465214824
42.3861,-72.5375,4.393336232
35.4867,-82.9681,4.324701237
31.3206,-92.4611,4.318638412
42.8978,-122.1339,4.293799063
34.9797,-80.5233,4.218657717
46.8128,-100.9097,3.953015737
41.8467,-79.1494,3.918801113
28.4575,-97.7061,3.851041335
38.1228,-83.5328,3.778115476
45.59,-95.8744,3.496606625
37.1942,-99.7633,3.376908032
46.4267,-105.8825,3.372482895
40.4664,-87.685,3.371305174
35.9833,-83.2008,3.271134188
41.0267,-86.5867,3.215667108
34.7544,-83.075,3.177832921
39.6678,-95.52,3.091037228
45.7656,-99.6222,3.064608668
34.7336,-76.7358,2.825986153
42.5647,-77.7175,2.824635015
47.5339,-116.1222,2.805358673
36.4161,-82.9839,2.717707404
39.7408,-99.8361,2.714352137
29.8233,-91.5442,2.70401594
38.2322,-78.1203,2.665870818
43.8878,-100.7075,2.617313036
43.4378,-103.4739,2.479611504
38.0936,-102.6306,2.418382795
40.1392,-87.6478,2.05952275
38.5528,-86.7944,1.896736757
42.6858,-103.8842,1.828555011
31.2503,-89.8361,1.643805564
41.9164,-84.0158,1.422634713
29.6339,-97.0644,1.361260355
44.3814,-100.2856,1.339427253
29.6756,-97.6578,1.097563273
36.4003,-81.3053,1.072140565
41.4514,-97.7644,1.049286257
44.1186,-89.5358,1.048281982
37.3264,-78.3864,0.751013378
30.1592,-96.3972,0.614622865
40.3706,-95.7469,0.610182993
47.1175,-118.3714,0.589861751
41.0211,-91.9553,0.578829006
43.7928,-75.4828,0.531686246
37.0908,-81.3364,0.386394285
43.6064,-93.3019,0.299387266
40.0839,-88.2403,0.205294217
46.8844,-98.685,0.141353856
40.6092,-96.8719,0.011535961
40.9442,-90.6381,-0.077568271
40.3544,-96.1939,-0.431910119
46.7281,-116.9558,-0.514141504
37.2364,-95.7003,-0.595786714
43.5306,-89.4369,-0.732897487
45.0364,-99.1342,-0.759717551
40.0739,-97.1669,-0.840212997
39.7858,-85.7611,-1.261442775
37.1322,-96.18,-1.400423713
38.4747,-100.9175,-1.409908524
42.8825,-91.8303,-1.606723162
43.6514,-97.7981,-1.68566996
32.7483,-97.77,-1.822651716
47.3331,-118.6961,-1.931875272
35.4139,-86.8086,-2.050867861
40.1306,-99.8278,-2.200992125
38.9664,-93.4194,-2.228206901
35.7297,-81.6728,-2.261564929
35.5497,-89.7,-2.589529991
43.0603,-92.6717,-2.738411561
36.7683,-96.0261,-2.770632222
30.2003,-92.6642,-2.842336485
37.7767,-79.4386,-2.858360593
43.7047,-92.5644,-2.873895388
44.5378,-90.535,-3.122899007
42.0356,-92.5806,-3.174326984
46.1583,-98.3989,-3.176003529
41.8814,-92.2764,-3.243154612
36.865,-94.3603,-3.289599366
38.3772,-97.6097,-3.33275758
43.7953,-88.4533,-3.480662983
47.8206,-112.1922,-3.669828685
40.9394,-100.1514,-3.737776543
40.9486,-91.5647,-4.002521481
42.7817,-96.1458,-4.023503308
41.6381,-95.7883,-4.026773231
30.0719,-91.0278,-4.385481386
38.7569,-82.8872,-4.579500207
38.6133,-95.2808,-4.660523778
40.5092,-101.6514,-4.740713121
39.7675,-101.8067,-4.902994507
39.6186,-87.6672,-5.393576901
40.0978,-98.5197,-5.622234831
33.8203,-93.3878,-5.944903102
29.0567,-96.2319,-6.091694048
42.3969,-94.6292,-6.124044449
40.2394,-94.6833,-6.135423217
35.5172,-78.3442,-6.483605924
38.8878,-86.5519,-6.516003941
43.1742,-88.7364,-6.551241264
40.5156,-98.9514,-6.805983784
35.81,-80.8808,-7.163064179
35.9203,-86.3728,-7.165766617
31.5447,-90.4581,-7.253290672
41.3283,-88.9106,-7.308840319
38.1872,-94.0283,-7.31273312
45.8864,-89.7322,-7.425653964
33.83,-88.5214,-7.460836011
34.1994,-81.4144,-7.628841009
41.2492,-97.1328,-7.869554878
39.7347,-90.1978,-7.894237743
42.5836,-94.2006,-7.931009986
37.3908,-93.9492,-7.936279676
35.3028,-93.6369,-7.987403378
40.7244,-95.0192,-8.056927272
41.2019,-80.8106,-8.559703003
37.0308,-100.9069,-8.59263007
37.1542,-92.2619,-8.742279311
43.4894,-99.0628,-9.000583601
39.4408,-90.3789,-9.264705351
41.1978,-90.7447,-9.280811617
43.0514,-91.135,-9.421157685
42.0644,-97.9667,-9.465677528
42.8278,-90.7889,-9.927708008
47.4733,-111.3822,-9.973093904
41.2825,-91.7078,-10.54113647
40.4517,-99.3803,-12.67707187